timestamp,dpid,port_no,utilization,link_label
1778567718,2,1,0.000032,s2_p1
1778567718,2,2,0.000032,path_A
1778567721,4,4,0.000048,path_B
1778567721,4,1,0.000048,s4_p1
1778567721,4,2,0.000048,s4_p2
1778567721,4,3,0.000048,path_A
1778567721,2,1,0.000048,s2_p1
1778567721,2,2,0.000064,path_A
1778567724,4,4,0.000048,path_B
1778567724,4,1,0.000048,s4_p1
1778567724,4,2,0.000048,s4_p2
1778567724,4,3,0.000048,path_A
1778567724,2,1,0.000048,s2_p1
1778567724,2,2,0.000048,path_A
1778567724,3,1,0.000048,s3_p1
1778567724,3,2,0.000048,path_B
1778567727,4,4,0.000064,path_B
1778567727,4,1,0.000048,s4_p1
1778567727,4,2,0.000064,s4_p2
1778567727,4,3,0.000064,path_A
1778567727,3,1,0.000064,s3_p1
1778567727,3,2,0.000064,path_B
1778567727,2,1,0.000048,s2_p1
1778567727,2,2,0.000048,path_A
1778567730,4,4,0.000041,path_B
1778567730,4,1,0.000062,s4_p1
1778567730,4,2,0.000041,s4_p2
1778567730,4,3,0.000041,path_A
1778567730,3,1,0.000041,s3_p1
1778567730,3,2,0.000041,path_B
1778567730,2,1,0.000062,s2_p1
1778567730,2,2,0.000062,path_A
1778567733,4,4,0.000048,path_B
1778567733,4,1,0.000048,s4_p1
1778567733,4,2,0.000048,s4_p2
1778567733,4,3,0.000064,path_A
1778567733,3,1,0.000064,s3_p1
1778567733,3,2,0.000064,path_B
1778567733,2,1,0.000048,s2_p1
1778567733,2,2,0.000048,path_A
1778567736,4,4,0.000064,path_B
1778567736,4,1,0.000064,s4_p1
1778567736,4,2,0.000064,s4_p2
1778567736,4,3,0.000048,path_A
1778567736,3,1,0.000048,s3_p1
1778567736,3,2,0.000048,path_B
1778567736,2,1,0.000064,s2_p1
1778567736,2,2,0.000064,path_A
1778567739,4,4,0.000048,path_B
1778567739,4,1,0.000048,s4_p1
1778567739,4,2,0.000048,s4_p2
1778567739,4,3,0.000048,path_A
1778567739,2,1,0.000048,s2_p1
1778567739,2,2,0.000048,path_A
1778567739,3,1,0.000048,s3_p1
1778567739,3,2,0.000048,path_B
1778567742,4,4,0.000093,path_B
1778567742,4,1,0.171013,s4_p1
1778567742,4,2,0.000104,s4_p2
1778567742,4,3,0.000109,path_A
1778567742,3,1,0.000093,s3_p1
1778567742,3,2,0.000059,path_B
1778567742,2,1,0.000082,s2_p1
1778567742,2,2,0.170996,path_A
1778567745,1,4,0.000064,path_B
1778567745,1,1,0.000109,s1_p1
1778567745,1,2,0.000048,s1_p2
1778567745,1,3,0.644475,path_A
1778567745,4,4,0.000048,path_B
1778567745,4,1,0.644392,s4_p1
1778567745,4,2,0.000064,s4_p2
1778567745,4,3,0.000093,path_A
1778567745,3,1,0.000064,s3_p1
1778567745,3,2,0.000064,path_B
1778567745,2,1,0.000109,s2_p1
1778567745,2,2,0.644416,path_A
1778567748,4,4,0.000064,path_B
1778567748,4,1,0.304363,s4_p1
1778567748,4,2,0.000048,s4_p2
1778567748,4,3,0.000093,path_A
1778567748,1,4,0.000048,path_B
1778567748,1,1,0.000093,s1_p1
1778567748,1,2,0.000048,s1_p2
1778567748,1,3,0.304325,path_A
1778567748,2,1,0.000093,s2_p1
1778567748,2,2,0.304346,path_A
1778567748,3,1,0.000048,s3_p1
1778567748,3,2,0.000048,path_B
1778567751,4,4,0.000048,path_B
1778567751,4,1,0.348791,s4_p1
1778567751,4,2,0.000048,s4_p2
1778567751,4,3,0.000121,path_A
1778567751,1,4,0.000048,path_B
1778567751,1,1,0.000105,s1_p1
1778567751,1,2,0.000064,s1_p2
1778567751,1,3,0.348812,path_A
1778567751,2,1,0.000105,s2_p1
1778567751,2,2,0.348803,path_A
1778567751,3,1,0.000048,s3_p1
1778567751,3,2,0.000048,path_B
1778567754,4,4,0.000048,path_B
1778567754,4,1,0.325725,s4_p1
1778567754,4,2,0.000048,s4_p2
1778567754,4,3,0.000093,path_A
1778567754,3,1,0.000064,s3_p1
1778567754,3,2,0.000064,path_B
1778567754,1,4,0.000064,path_B
1778567754,1,1,0.000109,s1_p1
1778567754,1,2,0.000048,s1_p2
1778567754,1,3,0.325698,path_A
1778567754,2,1,0.000109,s2_p1
1778567754,2,2,0.325713,path_A
1778567757,1,4,0.000048,path_B
1778567757,1,1,0.000093,s1_p1
1778567757,1,2,0.000048,s1_p2
1778567757,1,3,0.384202,path_A
1778567757,4,4,0.000064,path_B
1778567757,4,1,0.384164,s4_p1
1778567757,4,2,0.000064,s4_p2
1778567757,4,3,0.000093,path_A
1778567757,3,1,0.000048,s3_p1
1778567757,3,2,0.000048,path_B
1778567757,2,1,0.000093,s2_p1
1778567757,2,2,0.384186,path_A
1778567757,4,4,0.000062,path_B
1778567757,4,1,0.533980,s4_p1
1778567757,4,2,0.000062,s4_p2
1778567757,4,3,0.000120,path_A
1778567757,3,1,0.000062,s3_p1
1778567757,3,2,0.000062,path_B
1778567757,1,4,0.000062,path_B
1778567757,1,1,0.000120,s1_p1
1778567757,1,2,0.000062,s1_p2
1778567757,1,3,0.533863,path_A
1778567757,2,1,0.000120,s2_p1
1778567757,2,2,0.533902,path_A
1778567760,4,4,0.000048,path_B
1778567760,4,1,0.640033,s4_p1
1778567760,4,2,0.000048,s4_p2
1778567760,4,3,0.000411,path_A
1778567760,1,4,0.000048,path_B
1778567760,1,1,0.000411,s1_p1
1778567760,1,2,0.000048,s1_p2
1778567760,1,3,0.640104,path_A
1778567760,3,1,0.000048,s3_p1
1778567760,3,2,0.000048,path_B
1778567760,2,1,0.000411,s2_p1
1778567760,2,2,0.640087,path_A
1778567763,2,1,0.000093,s2_p1
1778567763,2,2,0.588505,path_A
1778567763,3,1,0.000048,s3_p1
1778567763,3,2,0.000048,path_B
1778567763,1,4,0.000048,path_B
1778567763,1,1,0.000093,s1_p1
1778567763,1,2,0.000048,s1_p2
1778567763,1,3,0.588455,path_A
1778567763,4,4,0.000048,path_B
1778567763,4,1,0.588436,s4_p1
1778567763,4,2,0.000048,s4_p2
1778567763,4,3,0.000109,path_A
1778567766,4,4,0.000048,path_B
1778567766,4,1,0.638091,s4_p1
1778567766,4,2,0.000048,s4_p2
1778567766,4,3,0.000104,path_A
1778567766,1,4,0.000064,path_B
1778567766,1,1,0.000120,s1_p1
1778567766,1,2,0.000064,s1_p2
1778567766,1,3,0.638082,path_A
1778567766,3,1,0.000048,s3_p1
1778567766,3,2,0.000064,path_B
1778567766,2,1,0.000104,s2_p1
1778567766,2,2,0.637911,path_A
1778567769,4,4,0.000064,path_B
1778567769,4,1,0.740673,s4_p1
1778567769,4,2,0.000064,s4_p2
1778567769,4,3,0.000093,path_A
1778567769,1,4,0.000048,path_B
1778567769,1,1,0.000093,s1_p1
1778567769,1,2,0.000048,s1_p2
1778567769,1,3,0.740620,path_A
1778567769,3,1,0.000064,s3_p1
1778567769,3,2,0.000048,path_B
1778567769,2,1,0.000109,s2_p1
1778567769,2,2,0.741187,path_A
1778567772,4,4,0.000048,path_B
1778567772,4,1,0.557132,s4_p1
1778567772,4,2,0.000048,s4_p2
1778567772,4,3,0.000093,path_A
1778567772,3,1,0.000048,s3_p1
1778567772,3,2,0.000048,path_B
1778567772,1,4,0.000048,path_B
1778567772,1,1,0.000093,s1_p1
1778567772,1,2,0.000048,s1_p2
1778567772,1,3,0.557123,path_A
1778567772,2,1,0.000093,s2_p1
1778567772,2,2,0.556726,path_A
1778567775,4,4,0.000093,path_B
1778567775,4,1,0.282223,s4_p1
1778567775,4,2,0.000048,s4_p2
1778567775,4,3,0.000064,path_A
1778567775,1,4,0.282232,path_B
1778567775,1,1,0.000109,s1_p1
1778567775,1,2,0.000064,s1_p2
1778567775,1,3,0.000064,path_A
1778567775,2,1,0.000048,s2_p1
1778567775,2,2,0.000048,path_A
1778567775,3,1,0.000093,s3_p1
1778567775,3,2,0.282223,path_B
1778567778,4,4,0.000109,path_B
1778567778,4,1,0.370507,s4_p1
1778567778,4,2,0.000064,s4_p2
1778567778,4,3,0.000048,path_A
1778567778,1,4,0.370506,path_B
1778567778,1,1,0.000093,s1_p1
1778567778,1,2,0.000048,s1_p2
1778567778,1,3,0.000048,path_A
1778567778,2,1,0.000064,s2_p1
1778567778,2,2,0.000064,path_A
1778567778,3,1,0.000109,s3_p1
1778567778,3,2,0.370509,path_B
1778567781,4,4,0.000093,path_B
1778567781,4,1,0.454654,s4_p1
1778567781,4,2,0.000048,s4_p2
1778567781,4,3,0.000048,path_A
1778567781,3,1,0.000093,s3_p1
1778567781,3,2,0.454652,path_B
1778567781,2,1,0.000048,s2_p1
1778567781,2,2,0.000048,path_A
1778567781,1,4,0.454636,path_B
1778567781,1,1,0.000093,s1_p1
1778567781,1,2,0.000048,s1_p2
1778567781,1,3,0.000048,path_A
1778567784,4,4,0.000104,path_B
1778567784,4,1,0.474804,s4_p1
