group,iteration,flow,loss_pct,jitter_ms,bandwidth_mbps
base,1,Flow 1,58.0,15.545,0.219
base,1,Flow 2,42.0,10.534,0.301
base,1,Flow 3,8.0,9.201,0.482
base,1,Flow 4,9.2,6.92,0.475
base,1,Flow 5,8.6,7.144,0.478
base,1,Flow 6,64.0,11.66,0.19
base,1,Flow 7,38.0,8.12,0.327
base,1,Flow 8,26.0,9.205,0.389
base,1,Flow 9,49.0,9.55,0.265
base,1,Burst Flows,16.618333333333336,7.609666666666666,1.33
base,2,Flow 1,59.0,11.327,0.214
base,2,Flow 2,22.0,7.502,0.41
base,2,Flow 3,9.8,8.946,0.472
base,2,Flow 4,7.7,7.262,0.483
base,2,Flow 5,8.5,8.927,0.479
base,2,Flow 6,51.0,9.465,0.257
base,2,Flow 7,83.0,23.888,0.0882
base,2,Flow 8,31.0,8.655,0.363
base,2,Flow 9,13.0,6.799,0.455
base,2,Burst Flows,27.038333333333338,8.704833333333333,1.1640000000000001
base,3,Flow 1,93.0,177.64,0.0295
base,3,Flow 2,9.2,4.463,0.455
base,3,Flow 3,15.0,7.481,0.427
base,3,Flow 4,4.3,4.572,0.479
base,3,Flow 5,51.0,9.929,0.246
base,3,Flow 6,9.7,4.234,0.452
base,3,Flow 7,12.0,7.222,0.44
base,3,Flow 8,77.0,18.337,0.116
base,3,Flow 9,14.0,7.156,0.433
base,3,Burst Flows,20.5,14.462333333333335,1.2195
base,4,Flow 1,81.0,11.952,0.09659999999999999
base,4,Flow 2,0.0,0.015,0.501
base,4,Flow 3,4.0,5.381,0.479
base,4,Flow 4,71.0,8.541,0.143
base,4,Flow 5,75.0,9.49,0.127
base,4,Flow 6,62.0,6.866,0.192
base,4,Flow 7,33.0,5.686,0.335
base,4,Flow 8,81.0,12.123,0.09440000000000001
base,4,Flow 9,65.0,7.252,0.173
base,4,Burst Flows,17.533333333333335,16.661833333333334,1.2661
base,5,Flow 1,87.0,20.829,0.0648
base,5,Flow 2,0.0,0.012,0.5
base,5,Flow 3,0.0,0.022,0.5
base,5,Flow 4,92.0,157.083,0.0312
base,5,Flow 5,58.0,6.992,0.211
base,5,Flow 6,23.0,5.581,0.386
base,5,Flow 7,0.58,6.549,0.497
base,5,Flow 8,72.0,8.881,0.139
base,5,Flow 9,41.0,5.576,0.294
base,5,Burst Flows,16.266666666666666,32.555,1.2813999999999999
base,6,Flow 1,7.0,7.226,0.44
base,6,Flow 2,47.0,8.484,0.252
base,6,Flow 3,48.0,9.263,0.247
base,6,Flow 4,7.2,7.383,0.439
base,6,Flow 5,15.0,7.84,0.401
base,6,Flow 6,6.4,7.71,0.443
