timestamp,dpid,port3_weight,port4_weight
1779797519.006042,9,35,64
1779797519.006152,10,74,25
1779797519.5071516,9,8,91
1779797519.5072458,10,95,4
1779797519.507273,14,50,50
1779797520.0087793,9,73,26
1779797520.0089056,10,88,11
1779797520.5097735,10,41,58
1779797521.010741,9,12,87
1779797521.0108209,10,35,64
1779797521.511839,10,82,17
1779797522.0126991,9,62,37
1779797522.01279,10,44,55
1779797522.5136144,10,33,66
1779797522.5136905,11,37,62
1779797522.5137098,13,44,55
1779797522.5137236,14,60,39
1779797523.0148163,9,9,90
1779797523.0149102,10,81,18
1779797523.0149302,11,44,55
1779797523.0149446,13,36,63
1779797523.5156636,14,54,45
1779797523.5157614,15,39,60
1779797524.016628,9,60,39
1779797524.0167177,10,31,68
1779797524.016737,11,37,62
1779797524.0167542,13,47,52
1779797524.0167682,15,47,52
1779797524.5182738,10,37,62
1779797525.0193386,9,8,91
1779797525.019421,10,69,30
1779797525.0194395,11,45,54
1779797525.0194528,13,36,63
1779797525.5205214,10,80,19
1779797525.5206065,15,40,59
1779797526.0221927,9,60,39
1779797526.0223024,13,45,54
1779797526.0223281,14,60,39
1779797526.5230956,10,48,51
1779797526.5231922,11,34,65
1779797526.5232177,13,40,59
1779797526.5232341,15,50,50
1779797527.024498,9,8,91
1779797527.0245786,10,54,45
1779797527.024599,11,42,57
1779797527.5262046,10,36,63
1779797527.5262988,14,50,50
1779797527.5263207,15,40,59
1779797528.0274127,9,56,43
1779797528.0275128,10,86,13
1779797528.027534,13,46,53
1779797531.0635986,10,66,33
1779797531.0636926,13,40,59
1779797531.063716,14,62,37
1779797531.0637355,15,47,52
1779797531.5645905,9,33,66
1779797531.564669,10,48,51
1779797532.0659306,9,19,80
1779797532.0660295,10,82,17
1779797532.0660498,11,48,51
1779797532.567032,9,38,61
1779797532.5671175,10,36,63
1779797532.567139,11,37,62
1779797532.5671544,14,52,47
1779797533.069041,13,45,54
1779797533.5699205,9,66,33
1779797533.5700045,10,65,34
1779797534.0712306,11,50,50
1779797534.5729806,9,17,82
1779797534.5730648,10,78,21
1779797534.5730858,11,40,59
1779797534.5731006,13,37,62
1779797534.5731142,14,64,35
1779797535.5747359,9,35,64
1779797535.5748193,10,67,32
1779797535.57484,14,56,43
1779797536.5767775,9,59,40
1779797536.5768619,10,79,20
1779797537.078278,13,43,56
1779797537.579735,9,8,91
1779797537.5798101,10,50,49
1779797537.5798283,13,37,62
1779797538.5818365,9,56,43
1779797538.5819163,10,92,7
1779797538.5819335,13,43,56
1779797539.5849092,9,18,81
1779797539.5849948,10,72,27
1779797539.5850158,14,63,36
1779797540.086515,10,50,49
1779797540.0866272,14,55,44
1779797540.587548,9,36,63
1779797540.587636,10,78,21
1779797541.0884025,10,93,6
1779797541.5891743,9,60,39
1779797541.5892544,10,83,16
1779797541.5892708,14,60,39
1779797542.0904806,10,31,68
1779797542.592191,9,8,91
1779797542.5923035,10,70,29
1779797542.5923252,13,36,63
1779797543.0934792,14,52,47
1779797543.5944047,9,59,40
1779797543.5945108,10,87,12
1779797544.0953653,14,61,38
1779797544.59722,9,8,91
1779797544.5973766,10,58,41
1779797544.5974302,14,53,46
1779797545.0986905,10,39,60
1779797545.0988586,13,41,58
1779797545.098926,15,40,59
1779797545.5997076,9,58,41
1779797545.599788,10,76,23
1779797545.5998092,11,46,53
1779797545.599824,13,47,52
1779797546.101599,10,83,16
1779797546.101714,13,38,61
1779797546.101734,14,60,39
1779797546.1017509,15,45,54
1779797546.6026535,9,18,81
1779797546.6027389,10,52,47
1779797546.6027608,11,39,60
1779797547.1038215,10,67,32
1779797547.1039124,14,54,45
1779797547.6048486,9,33,66
1779797547.6049354,10,92,7
1779797548.1059442,9,26,73
1779797548.106032,10,86,13
1779797548.10605,14,60,39
1779797548.607046,9,41,58
1779797548.6071367,10,57,42
1779797549.1078339,9,64,35
1779797549.10793,10,50,49
1779797549.1079495,13,45,54
1779797549.1079643,14,54,45
1779797549.6086817,9,29,70
1779797549.6087744,10,83,16
1779797549.6087961,13,36,63
1779797550.1109905,9,5,94
1779797550.111089,10,93,6
1779797550.1111352,13,30,69
1779797550.6129568,9,52,47
1779797550.6130414,10,80,19
1779797550.6130607,13,45,54
1779797550.6131024,14,62,37
1779797551.1144688,9,62,37
