group,iteration,flow,loss_pct,jitter_ms,bandwidth_mbps
l2,1,Flow 1,3.4,5.096,0.506
l2,1,Flow 2,41.0,4.854,0.309
l2,1,Flow 3,2.7,2.25,0.509
l2,1,Flow 4,26.0,2.8,0.388
l2,1,Flow 5,58.0,4.441,0.219
l2,1,Flow 6,72.0,5.642,0.147
l2,1,Flow 7,82.0,8.58,0.0938
l2,1,Flow 8,11.0,4.609,0.465
l2,1,Flow 9,6.6,3.755,0.489
l2,1,Burst Flows,16.75,6.281,1.326
l2,2,Flow 1,2.8,5.579,0.508
l2,2,Flow 2,14.0,4.805,0.452
l2,2,Flow 3,6.9,4.057,0.487
l2,2,Flow 4,12.0,4.521,0.462
l2,2,Flow 5,61.0,4.767,0.204
l2,2,Flow 6,62.0,5.16,0.2
l2,2,Flow 7,49.0,4.71,0.267
l2,2,Flow 8,41.0,4.552,0.307
l2,2,Flow 9,3.8,5.139,0.503
l2,2,Burst Flows,36.199999999999996,35.53183333333333,1.0096
l2,3,Flow 1,11.0,5.035,0.466
l2,3,Flow 2,20.0,4.519,0.42
l2,3,Flow 3,47.0,4.646,0.278
l2,3,Flow 4,25.0,4.414,0.393
l2,3,Flow 5,4.2,4.349,0.501
l2,3,Flow 6,67.0,5.752,0.171
l2,3,Flow 7,68.0,5.913,0.166
l2,3,Flow 8,3.7,5.001,0.504
l2,3,Flow 9,3.6,5.446,0.504
l2,3,Burst Flows,40.38333333333333,18.6655,0.9460999999999999
l2,4,Flow 1,17.0,6.035,0.435
l2,4,Flow 2,27.0,6.387,0.383
l2,4,Flow 3,6.3,1.524,0.49
l2,4,Flow 4,64.0,5.65,0.188
l2,4,Flow 5,46.0,4.655,0.285
l2,4,Flow 6,3.4,1.921,0.506
l2,4,Flow 7,80.0,9.256,0.106
l2,4,Flow 8,64.0,6.343,0.186
l2,4,Flow 9,4.6,1.824,0.499
l2,4,Burst Flows,26.95,14.482166666666666,1.1569
l2,5,Flow 1,16.0,4.987,0.441
l2,5,Flow 2,3.2,5.139,0.506
l2,5,Flow 3,41.0,4.224,0.31
l2,5,Flow 4,3.6,4.022,0.504
l2,5,Flow 5,69.0,6.075,0.164
l2,5,Flow 6,64.0,5.084,0.19
l2,5,Flow 7,24.0,4.567,0.4
l2,5,Flow 8,18.0,4.348,0.428
l2,5,Flow 9,4.1,5.656,0.502
l2,5,Burst Flows,40.29666666666667,12.690833333333332,0.9533
l2,6,Flow 1,16.0,4.519,0.439
l2,6,Flow 2,2.9,3.641,0.508
l2,6,Flow 3,9.4,2.153,0.474
l2,6,Flow 4,72.0,6.705,0.148
l2,6,Flow 5,70.0,6.128,0.158
l2,6,Flow 6,42.0,4.487,0.304
l2,6,Flow 7,15.0,2.795,0.443
l2,6,Flow 8,67.0,6.038,0.174
l2,6,Flow 9,3.7,4.102,0.504
l2,6,Burst Flows,30.516666666666666,8.9675,1.1054
l2,7,Flow 1,15.0,2.418,0.442
l2,7,Flow 2,3.2,4.583,0.506
l2,7,Flow 3,58.0,4.728,0.219
l2,7,Flow 4,59.0,4.941,0.216
l2,7,Flow 5,74.0,6.709,0.135
l2,7,Flow 6,46.0,4.47,0.284
l2,7,Flow 7,9.1,4.174,0.476
l2,7,Flow 8,26.0,2.254,0.387
l2,7,Flow 9,3.4,2.3,0.506
l2,7,Burst Flows,21.2,35.827333333333335,1.2469999999999999
l2,8,Flow 1,3.2,4.1,0.507
l2,8,Flow 2,3.3,4.105,0.506
l2,8,Flow 3,18.0,4.07,0.427
l2,8,Flow 4,45.0,4.47,0.29
l2,8,Flow 5,24.0,4.815,0.398
l2,8,Flow 6,64.0,5.092,0.188
l2,8,Flow 7,60.0,5.024,0.208
l2,8,Flow 8,30.0,4.563,0.368
l2,8,Flow 9,8.1,4.775,0.482
l2,8,Burst Flows,40.85,7.5345,0.9484
l2,9,Flow 1,14.0,4.038,0.449
l2,9,Flow 2,1.1,2.591,0.517
l2,9,Flow 3,72.0,5.66,0.147
l2,9,Flow 4,58.0,4.739,0.22
l2,9,Flow 5,79.0,7.652,0.112
l2,9,Flow 6,54.0,4.324,0.242
l2,9,Flow 7,61.0,4.691,0.202
l2,9,Flow 8,12.0,1.605,0.462
l2,9,Flow 9,3.8,3.856,0.504
l2,9,Burst Flows,19.616666666666667,5.3265,1.2755
l2,10,Flow 1,28.0,4.641,0.376
l2,10,Flow 2,12.0,5.782,0.461
l2,10,Flow 3,72.0,6.214,0.148
l2,10,Flow 4,38.0,4.063,0.323
l2,10,Flow 5,35.0,4.047,0.343
l2,10,Flow 6,38.0,4.076,0.326
l2,10,Flow 7,17.0,4.299,0.433
l2,10,Flow 8,5.6,4.776,0.494
l2,10,Flow 9,3.2,4.988,0.507
l2,10,Burst Flows,37.81666666666667,14.171166666666666,0.9856
l2,11,Flow 1,12.0,2.416,0.463
l2,11,Flow 2,3.3,4.614,0.506
l2,11,Flow 3,53.0,4.968,0.245
l2,11,Flow 4,2.9,1.909,0.508
l2,11,Flow 5,72.0,6.621,0.145
l2,11,Flow 6,67.0,5.331,0.174
l2,11,Flow 7,66.0,5.881,0.18
l2,11,Flow 8,24.0,4.774,0.398
l2,11,Flow 9,2.5,3.548,0.51
l2,11,Burst Flows,27.2,27.596833333333333,1.1513
l2,12,Flow 1,43.0,4.678,0.299
l2,12,Flow 2,79.0,8.235,0.107
l2,12,Flow 3,66.0,5.093,0.176
l2,12,Flow 4,34.0,4.08,0.346
l2,12,Flow 5,1.1,0.474,0.519
l2,12,Flow 6,69.0,5.071,0.164
l2,12,Flow 7,75.0,6.343,0.131
l2,12,Flow 8,90.0,24.431,0.054200000000000005
l2,12,Flow 9,13.0,4.527,0.454
l2,12,Burst Flows,24.316666666666666,14.112833333333334,1.1968
l2,13,Flow 1,3.0,5.474,0.507
l2,13,Flow 2,8.7,5.01,0.478
