group,iteration,flow,loss_pct,jitter_ms,bandwidth_mbps
predictive,1,Flow 1,6.0,14.658,0.493
predictive,1,Flow 2,24.0,26.053,0.397
predictive,1,Flow 3,11.0,10.797,0.465
predictive,1,Flow 4,24.0,25.424,0.399
predictive,1,Flow 5,6.4,26.019,0.491
predictive,1,Flow 6,31.0,24.897,0.36
predictive,1,Flow 7,23.0,23.64,0.405
predictive,1,Flow 8,8.6,15.361,0.479
predictive,1,Flow 9,8.6,25.334,0.48
predictive,1,Burst Flows,18.5,25.929333333333332,1.294
predictive,2,Flow 1,11.0,13.021,0.464
predictive,2,Flow 2,14.0,10.414,0.448
predictive,2,Flow 3,3.2,13.316,0.508
predictive,2,Flow 4,6.6,14.079,0.489
predictive,2,Flow 5,8.3,10.146,0.481
predictive,2,Flow 6,6.2,10.59,0.492
predictive,2,Flow 7,4.9,11.274,0.499
predictive,2,Flow 8,19.0,12.671,0.423
predictive,2,Flow 9,7.4,12.921,0.484
predictive,2,Burst Flows,8.866666666666667,17.553500000000003,1.444
predictive,3,Flow 1,23.0,19.614,0.403
predictive,3,Flow 2,3.5,3.136,0.506
predictive,3,Flow 3,3.5,4.883,0.506
predictive,3,Flow 4,14.0,23.161,0.448
predictive,3,Flow 5,6.3,6.234,0.492
predictive,3,Flow 6,33.0,20.931,0.352
predictive,3,Flow 7,19.0,23.046,0.423
predictive,3,Flow 8,5.6,17.67,0.496
predictive,3,Flow 9,7.2,17.488,0.487
predictive,3,Burst Flows,6.13,16.417833333333334,1.4849999999999999
predictive,4,Flow 1,28.0,17.687,0.377
predictive,4,Flow 2,31.0,15.674,0.363
predictive,4,Flow 3,3.4,0.785,0.507
predictive,4,Flow 4,32.0,16.381,0.357
predictive,4,Flow 5,39.0,17.845,0.32
predictive,4,Flow 6,52.0,20.033,0.249
predictive,4,Flow 7,12.0,17.747,0.462
predictive,4,Flow 8,49.0,14.366,0.267
predictive,4,Flow 9,3.3,0.567,0.507
predictive,4,Burst Flows,23.666666666666668,13.714666666666666,1.207
predictive,5,Flow 1,22.0,21.021,0.411
predictive,5,Flow 2,6.2,4.951,0.492
predictive,5,Flow 3,10.0,26.975,0.471
predictive,5,Flow 4,7.0,4.874,0.488
predictive,5,Flow 5,5.6,27.574,0.495
predictive,5,Flow 6,4.9,6.709,0.499
predictive,5,Flow 7,5.3,6.22,0.497
predictive,5,Flow 8,39.0,21.934,0.321
predictive,5,Flow 9,11.0,27.044,0.468
predictive,5,Burst Flows,10.406666666666668,16.5005,1.413
predictive,6,Flow 1,13.0,11.053,0.457
predictive,6,Flow 2,26.0,25.729,0.386
predictive,6,Flow 3,7.5,27.234,0.485
predictive,6,Flow 4,10.0,18.23,0.471
predictive,6,Flow 5,4.6,19.833,0.5
predictive,6,Flow 6,7.6,25.736,0.483
predictive,6,Flow 7,4.2,19.528,0.502
predictive,6,Flow 8,27.0,21.098,0.384
predictive,6,Flow 9,7.8,26.059,0.483
predictive,6,Burst Flows,13.866666666666667,20.415166666666668,1.365
predictive,7,Flow 1,2.4,2.709,0.512
predictive,7,Flow 2,17.0,16.046,0.434
predictive,7,Flow 3,20.0,9.981,0.42
predictive,7,Flow 4,10.0,17.29,0.47
predictive,7,Flow 5,28.0,8.661,0.376
predictive,7,Flow 6,17.0,10.79,0.432
predictive,7,Flow 7,39.0,15.496,0.314
predictive,7,Flow 8,1.5,1.708,0.517
predictive,7,Flow 9,32.0,13.099,0.357
predictive,7,Burst Flows,7.666666666666667,7.1066666666666665,1.461
predictive,8,Flow 1,2.1,6.898,0.497
predictive,8,Flow 2,14.0,6.906,0.433
predictive,8,Flow 3,1.8,11.02,0.499
predictive,8,Flow 4,2.7,9.057,0.493
predictive,8,Flow 5,4.2,11.258,0.487
predictive,8,Flow 6,4.3,11.291,0.486
predictive,8,Flow 7,3.2,7.032,0.492
predictive,8,Flow 8,17.0,6.572,0.417
predictive,8,Flow 9,5.6,8.315,0.479
predictive,8,Burst Flows,18.09,15.656333333333334,1.2880000000000003
predictive,9,Flow 1,6.4,17.701,0.49
predictive,9,Flow 2,13.0,19.617,0.456
predictive,9,Flow 3,6.6,29.16,0.489
predictive,9,Flow 4,19.0,20.133,0.424
predictive,9,Flow 5,5.2,20.274,0.497
predictive,9,Flow 6,21.0,22.29,0.412
predictive,9,Flow 7,14.0,26.023,0.452
predictive,9,Flow 8,18.0,28.444,0.431
predictive,9,Flow 9,7.2,23.805,0.486
predictive,9,Burst Flows,26.5,35.35466666666667,1.1720000000000002
predictive,10,Flow 1,16.0,8.417,0.438
predictive,10,Flow 2,6.5,6.066,0.489
predictive,10,Flow 3,5.7,1.7,0.495
predictive,10,Flow 4,55.0,11.496,0.238
predictive,10,Flow 5,48.0,14.051,0.273
