group,iteration,flow,loss_pct,jitter_ms,bandwidth_mbps
threshold,1,Flow 1,4.1,33.209,0.503
threshold,1,Flow 2,14.0,39.195,0.452
threshold,1,Flow 3,17.0,31.541,0.433
threshold,1,Flow 4,14.0,28.66,0.451
threshold,1,Flow 5,15.0,18.217,0.443
threshold,1,Flow 6,28.0,28.23,0.378
threshold,1,Flow 7,43.0,27.572,0.301
threshold,1,Flow 8,33.0,30.426,0.353
threshold,1,Flow 9,2.8,29.21,0.509
threshold,1,Flow 4 (burst),11.049999999999999,17.203166666666668,1.412
threshold,2,Flow 1,2.9,35.307,0.51
threshold,2,Flow 2,11.0,41.246,0.468
threshold,2,Flow 3,24.0,22.904,0.4
threshold,2,Flow 4,22.0,39.248,0.409
threshold,2,Flow 5,9.6,32.637,0.473
threshold,2,Flow 6,17.0,25.814,0.436
threshold,2,Flow 7,19.0,35.381,0.427
threshold,2,Flow 8,3.4,26.626,0.507
threshold,2,Flow 9,25.0,19.259,0.394
threshold,2,Flow 4 (burst),18.333333333333332,34.979166666666664,1.294
threshold,3,Flow 1,6.3,34.278,0.492
threshold,3,Flow 2,16.0,32.8,0.438
threshold,3,Flow 3,23.0,42.325,0.404
threshold,3,Flow 4,6.8,26.883,0.488
threshold,3,Flow 5,20.0,27.193,0.418
threshold,3,Flow 6,20.0,41.857,0.419
threshold,3,Flow 7,15.0,18.469,0.446
threshold,3,Flow 8,23.0,29.006,0.402
threshold,3,Flow 9,3.5,44.511,0.505
threshold,3,Flow 4 (burst),9.083333333333334,29.075833333333335,1.444
threshold,4,Flow 1,7.0,21.567,0.488
threshold,4,Flow 2,5.6,25.514,0.495
threshold,4,Flow 3,2.7,24.255,0.511
threshold,4,Flow 4,2.0,25.727,0.513
threshold,4,Flow 5,17.0,20.294,0.433
threshold,4,Flow 6,14.0,21.002,0.453
threshold,4,Flow 7,21.0,26.181,0.416
threshold,4,Flow 8,8.7,23.412,0.481
threshold,4,Flow 9,12.0,25.018,0.46
threshold,4,Flow 4 (burst),10.049999999999999,34.285833333333336,1.427
threshold,5,Flow 1,5.9,27.244,0.493
threshold,5,Flow 2,18.0,27.511,0.431
threshold,5,Flow 3,4.2,17.491,0.503
threshold,5,Flow 4,5.6,41.731,0.494
threshold,5,Flow 5,21.0,36.865,0.414
threshold,5,Flow 6,18.0,25.109,0.427
threshold,5,Flow 7,18.0,26.716,0.431
threshold,5,Flow 8,18.0,40.305,0.428
threshold,5,Flow 9,4.3,29.215,0.501
threshold,5,Flow 4 (burst),11.156666666666666,34.601333333333336,1.404
threshold,6,Flow 1,18.0,39.305,0.431
threshold,6,Flow 2,16.0,42.681,0.441
threshold,6,Flow 3,20.0,23.554,0.418
threshold,6,Flow 4,30.0,42.277,0.364
threshold,6,Flow 5,15.0,45.268,0.444
threshold,6,Flow 6,7.5,15.886,0.488
threshold,6,Flow 7,38.0,42.058,0.323
threshold,6,Flow 8,37.0,42.576,0.328
threshold,6,Flow 9,3.4,21.828,0.509
threshold,6,Flow 4 (burst),27.666666666666668,41.441833333333335,1.15
threshold,7,Flow 1,3.5,35.581,0.506
threshold,7,Flow 2,29.0,23.571,0.373
threshold,7,Flow 3,18.0,20.565,0.432
threshold,7,Flow 4,17.0,23.251,0.433
threshold,7,Flow 5,19.0,34.49,0.424
threshold,7,Flow 6,14.0,25.612,0.448
threshold,7,Flow 7,31.0,34.287,0.364
threshold,7,Flow 8,2.9,32.917,0.508
threshold,7,Flow 9,19.0,27.403,0.426
threshold,7,Flow 4 (burst),20.483333333333334,35.153333333333336,1.256
threshold,8,Flow 1,5.3,19.244,0.496
threshold,8,Flow 2,13.0,24.988,0.455
threshold,8,Flow 3,11.0,24.84,0.47
threshold,8,Flow 4,3.9,28.425,0.503
threshold,8,Flow 5,18.0,22.458,0.427
threshold,8,Flow 6,18.0,23.229,0.421
threshold,8,Flow 7,17.0,32.699,0.437
threshold,8,Flow 8,4.0,42.342,0.502
threshold,8,Flow 9,3.2,37.961,0.506
