timestamp,dpid,port_no,utilization
1779727433.5,2,1,0.000000
1779727433.5,2,4,0.000000
1779727433.5,2,2,0.000000
1779727433.5,2,3,0.000000
1779727433.5,1,4,0.000000
1779727433.5,1,1,0.000000
1779727433.5,1,2,0.000000
1779727433.5,1,3,0.000000
1779727434.0,2,1,0.000000
1779727434.0,2,4,0.000000
1779727434.0,2,2,0.000000
1779727434.0,2,3,0.000000
1779727434.0,1,4,0.000000
1779727434.0,1,1,0.000000
1779727434.0,1,2,0.000000
1779727434.0,1,3,0.000000
1779727434.0,10,4,0.000000
1779727434.0,10,1,0.000000
1779727434.0,10,2,0.000000
1779727434.0,10,3,0.000000
1779727434.0,9,1,0.000000
1779727434.0,9,4,0.000000
1779727434.0,9,2,0.000000
1779727434.0,9,3,0.000000
1779727436.5,1,4,0.000000
1779727436.5,1,1,0.000000
1779727436.5,1,2,0.000000
1779727436.5,1,3,0.000000
1779727436.5,2,1,0.000000
1779727436.5,2,4,0.000000
1779727436.5,2,2,0.000000
1779727436.5,2,3,0.000000
1779727436.5,11,4,0.000000
1779727436.5,11,1,0.000000
1779727436.5,11,2,0.000000
1779727436.5,11,3,0.000000
1779727436.5,10,4,0.000000
1779727436.5,10,1,0.000000
1779727436.5,10,2,0.000000
1779727436.5,10,3,0.000000
1779727436.5,4,1,0.000000
1779727436.5,4,4,0.000000
1779727436.5,4,2,0.000000
1779727436.5,4,3,0.000000
1779727436.5,3,4,0.000000
1779727436.5,3,1,0.000000
1779727436.5,3,2,0.000000
1779727436.5,3,3,0.000000
1779727436.5,9,1,0.000000
1779727436.5,9,4,0.000000
1779727436.5,9,2,0.000000
1779727436.5,9,3,0.000000
1779727437.0,1,4,0.000000
1779727437.0,1,1,0.000000
1779727437.0,1,2,0.000000
1779727437.0,1,3,0.000000
1779727437.0,3,4,0.000000
1779727437.0,3,1,0.000000
1779727437.0,3,2,0.000000
1779727437.0,3,3,0.000000
1779727437.0,10,4,0.000000
1779727437.0,10,1,0.000000
1779727437.0,10,2,0.000000
1779727437.0,10,3,0.000000
1779727437.0,11,4,0.000000
1779727437.0,11,1,0.000000
1779727437.0,11,2,0.000000
1779727437.0,11,3,0.000000
1779727437.0,9,1,0.000000
1779727437.0,9,4,0.000000
1779727437.0,9,2,0.000000
1779727437.0,9,3,0.000000
1779727437.0,2,1,0.000000
1779727437.0,2,4,0.000000
1779727437.0,2,2,0.000000
1779727437.0,2,3,0.000000
1779727437.0,4,1,0.000000
1779727437.0,4,4,0.000000
1779727437.0,4,2,0.000000
1779727437.0,4,3,0.000000
1779727437.0,5,4,0.000000
1779727437.0,5,1,0.000000
1779727437.0,5,2,0.000000
1779727437.0,5,3,0.000000
1779727437.0,12,4,0.000000
1779727437.0,12,1,0.000000
1779727437.0,12,2,0.000000
1779727437.0,12,3,0.000000
1779727437.5,6,1,0.000000
1779727437.5,6,4,0.000000
1779727437.5,6,2,0.000000
1779727437.5,6,3,0.000000
1779727437.5,1,4,0.000000
1779727437.5,1,1,0.000000
1779727437.5,1,2,0.000000
1779727437.5,1,3,0.000000
1779727437.5,14,4,0.000000
1779727437.5,14,1,0.000000
1779727437.5,14,2,0.000000
1779727437.5,14,3,0.000000
1779727437.5,3,4,0.000000
1779727437.5,3,1,0.000000
1779727437.5,3,2,0.000000
1779727437.5,3,3,0.000000
1779727437.5,10,4,0.000000
1779727437.5,10,1,0.000000
1779727437.5,10,2,0.000000
1779727437.5,10,3,0.000000
1779727437.5,13,4,0.000000
1779727437.5,13,1,0.000000
1779727437.5,13,2,0.000000
1779727437.5,13,3,0.000000
1779727437.5,12,4,0.000000
1779727437.5,12,1,0.000000
1779727437.5,12,2,0.000000
1779727437.5,12,3,0.000000
1779727437.5,2,1,0.000000
1779727437.5,2,4,0.000000
1779727437.5,2,2,0.000000
1779727437.5,2,3,0.000000
1779727437.5,4,1,0.000000
1779727437.5,4,4,0.000000
1779727437.5,4,2,0.000000
1779727437.5,4,3,0.000000
1779727437.5,5,4,0.000000
1779727437.5,5,1,0.000000
1779727437.5,5,2,0.000000
1779727437.5,5,3,0.000000
1779727437.5,9,1,0.000000
1779727437.5,9,4,0.000000
1779727437.5,9,2,0.000000
1779727437.5,9,3,0.000000
1779727437.5,11,4,0.000000
1779727437.5,11,1,0.000000
1779727437.5,11,2,0.000000
1779727437.5,11,3,0.000000
1779727438.0,6,1,0.000000
1779727438.0,6,4,0.000000
1779727438.0,6,2,0.000000
1779727438.0,6,3,0.000000
1779727438.0,14,4,0.000000
1779727438.0,14,1,0.000000
1779727438.0,14,2,0.000000
1779727438.0,14,3,0.000000
1779727438.0,10,4,0.000000
1779727438.0,10,1,0.000000
1779727438.0,10,2,0.000000
1779727438.0,10,3,0.000000
1779727438.0,1,4,0.000000
1779727438.0,1,1,0.000000
1779727438.0,1,2,0.000000
1779727438.0,1,3,0.000000
1779727438.0,3,4,0.000000
