feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,target_label,U_next
0.011372,0.000093,0.224207,0.000064,0.300656,0.000048,path_A,0.447237
0.011372,0.000093,0.224207,0.000064,0.300656,0.000048,path_B,0.000064
0.224207,0.000064,0.300656,0.000048,0.447237,0.000064,path_A,0.523316
0.224207,0.000064,0.300656,0.000048,0.447237,0.000064,path_B,0.000064
0.300656,0.000048,0.447237,0.000064,0.523316,0.000064,path_A,0.421247
0.300656,0.000048,0.447237,0.000064,0.523316,0.000064,path_B,0.000048
0.447237,0.000064,0.523316,0.000064,0.421247,0.000048,path_A,0.528539
0.447237,0.000064,0.523316,0.000064,0.421247,0.000048,path_B,0.000064
0.523316,0.000064,0.421247,0.000048,0.528539,0.000064,path_A,0.631061
0.523316,0.000064,0.421247,0.000048,0.528539,0.000064,path_B,0.000064
0.421247,0.000048,0.528539,0.000064,0.631061,0.000064,path_A,0.698876
0.421247,0.000048,0.528539,0.000064,0.631061,0.000064,path_B,0.000048
0.528539,0.000064,0.631061,0.000064,0.698876,0.000048,path_A,0.664046
0.528539,0.000064,0.631061,0.000064,0.698876,0.000048,path_B,0.000064
0.631061,0.000064,0.698876,0.000048,0.664046,0.000064,path_A,0.795289
0.631061,0.000064,0.698876,0.000048,0.664046,0.000064,path_B,0.000064
0.698876,0.000048,0.664046,0.000064,0.795289,0.000064,path_A,0.222119
0.698876,0.000048,0.664046,0.000064,0.795289,0.000064,path_B,0.000048
0.664046,0.000064,0.795289,0.000064,0.222119,0.000048,path_A,0.000064
0.664046,0.000064,0.795289,0.000064,0.222119,0.000048,path_B,0.299693
0.795289,0.000064,0.222119,0.000048,0.000064,0.299693,path_A,0.000064
0.795289,0.000064,0.222119,0.000048,0.000064,0.299693,path_B,0.318433
0.222119,0.000048,0.000064,0.299693,0.000064,0.318433,path_A,0.000048
0.222119,0.000048,0.000064,0.299693,0.000064,0.318433,path_B,0.409627
0.000064,0.299693,0.000064,0.318433,0.000048,0.409627,path_A,0.000064
0.000064,0.299693,0.000064,0.318433,0.000048,0.409627,path_B,0.478541
0.000064,0.318433,0.000048,0.409627,0.000064,0.478541,path_A,0.000064
0.000064,0.318433,0.000048,0.409627,0.000064,0.478541,path_B,0.580183
0.000048,0.409627,0.000064,0.478541,0.000064,0.580183,path_A,0.000048
0.000048,0.409627,0.000064,0.478541,0.000064,0.580183,path_B,0.580312
0.000064,0.478541,0.000064,0.580183,0.000048,0.580312,path_A,0.000064
0.000064,0.478541,0.000064,0.580183,0.000048,0.580312,path_B,0.677292
0.000064,0.580183,0.000048,0.580312,0.000064,0.677292,path_A,0.000064
0.000064,0.580183,0.000048,0.580312,0.000064,0.677292,path_B,0.755232
0.000048,0.580312,0.000064,0.677292,0.000064,0.755232,path_A,0.000048
0.000048,0.580312,0.000064,0.677292,0.000064,0.755232,path_B,0.810300
0.000064,0.677292,0.000064,0.755232,0.000048,0.810300,path_A,0.242692
0.000064,0.677292,0.000064,0.755232,0.000048,0.810300,path_B,0.000064
0.000064,0.755232,0.000048,0.810300,0.242692,0.000064,path_A,0.369684
0.000064,0.755232,0.000048,0.810300,0.242692,0.000064,path_B,0.000064
0.000048,0.810300,0.242692,0.000064,0.369684,0.000064,path_A,0.338790
0.000048,0.810300,0.242692,0.000064,0.369684,0.000064,path_B,0.000048
0.242692,0.000064,0.369684,0.000064,0.338790,0.000048,path_A,0.446892
0.242692,0.000064,0.369684,0.000064,0.338790,0.000048,path_B,0.000064
0.369684,0.000064,0.338790,0.000048,0.446892,0.000064,path_A,0.492802
0.369684,0.000064,0.338790,0.000048,0.446892,0.000064,path_B,0.000064
0.338790,0.000048,0.446892,0.000064,0.492802,0.000064,path_A,0.619266
0.338790,0.000048,0.446892,0.000064,0.492802,0.000064,path_B,0.000048
0.446892,0.000064,0.492802,0.000064,0.619266,0.000048,path_A,0.607718
0.446892,0.000064,0.492802,0.000064,0.619266,0.000048,path_B,0.000064
0.492802,0.000064,0.619266,0.000048,0.607718,0.000064,path_A,0.642134
0.492802,0.000064,0.619266,0.000048,0.607718,0.000064,path_B,0.000064
0.619266,0.000048,0.607718,0.000064,0.642134,0.000064,path_A,0.798842
0.619266,0.000048,0.607718,0.000064,0.642134,0.000064,path_B,0.000048
0.607718,0.000064,0.642134,0.000064,0.798842,0.000048,path_A,0.765209
0.607718,0.000064,0.642134,0.000064,0.798842,0.000048,path_B,0.000064
0.642134,0.000064,0.798842,0.000048,0.765209,0.000064,path_A,0.000064
0.642134,0.000064,0.798842,0.000048,0.765209,0.000064,path_B,0.200440
0.798842,0.000048,0.765209,0.000064,0.000064,0.200440,path_A,0.000048
0.798842,0.000048,0.765209,0.000064,0.000064,0.200440,path_B,0.200794
0.765209,0.000064,0.000064,0.200440,0.000048,0.200794,path_A,0.000064
0.765209,0.000064,0.000064,0.200440,0.000048,0.200794,path_B,0.346180
0.000064,0.200440,0.000048,0.200794,0.000064,0.346180,path_A,0.000064
0.000064,0.200440,0.000048,0.200794,0.000064,0.346180,path_B,0.435792
0.000048,0.200794,0.000064,0.346180,0.000064,0.435792,path_A,0.000048
0.000048,0.200794,0.000064,0.346180,0.000064,0.435792,path_B,0.461187
0.000064,0.346180,0.000064,0.435792,0.000048,0.461187,path_A,0.000064
0.000064,0.346180,0.000064,0.435792,0.000048,0.461187,path_B,0.613987
0.000064,0.435792,0.000048,0.461187,0.000064,0.613987,path_A,0.000064
0.000064,0.435792,0.000048,0.461187,0.000064,0.613987,path_B,0.677727
0.000048,0.461187,0.000064,0.613987,0.000064,0.677727,path_A,0.000048
0.000048,0.461187,0.000064,0.613987,0.000064,0.677727,path_B,0.740986
0.000064,0.613987,0.000064,0.677727,0.000048,0.740986,path_A,0.000064
0.000064,0.613987,0.000064,0.677727,0.000048,0.740986,path_B,0.727811
0.000064,0.677727,0.000048,0.740986,0.000064,0.727811,path_A,0.659959
0.000064,0.677727,0.000048,0.740986,0.000064,0.727811,path_B,0.000064
0.000048,0.000048,0.209720,0.001285,0.372464,0.000064,path_A,0.351084
0.000048,0.000048,0.209720,0.001285,0.372464,0.000064,path_B,0.000048
0.209720,0.001285,0.372464,0.000064,0.351084,0.000048,path_A,0.451134
0.209720,0.001285,0.372464,0.000064,0.351084,0.000048,path_B,0.000064
0.372464,0.000064,0.351084,0.000048,0.451134,0.000064,path_A,0.511964
0.372464,0.000064,0.351084,0.000048,0.451134,0.000064,path_B,0.000075
0.351084,0.000048,0.451134,0.000064,0.511964,0.000075,path_A,0.637400
0.351084,0.000048,0.451134,0.000064,0.511964,0.000075,path_B,0.000048
0.451134,0.000064,0.511964,0.000075,0.637400,0.000048,path_A,0.687722
0.451134,0.000064,0.511964,0.000075,0.637400,0.000048,path_B,0.000064
0.511964,0.000075,0.637400,0.000048,0.687722,0.000064,path_A,0.787296
0.511964,0.000075,0.637400,0.000048,0.687722,0.000064,path_B,0.000064
0.637400,0.000048,0.687722,0.000064,0.787296,0.000064,path_A,0.802919
0.637400,0.000048,0.687722,0.000064,0.787296,0.000064,path_B,0.000048
0.687722,0.000064,0.787296,0.000064,0.802919,0.000048,path_A,0.000467
0.687722,0.000064,0.787296,0.000064,0.802919,0.000048,path_B,0.662968
0.787296,0.000064,0.802919,0.000048,0.000467,0.662968,path_A,0.000064
0.787296,0.000064,0.802919,0.000048,0.000467,0.662968,path_B,0.220943
0.802919,0.000048,0.000467,0.662968,0.000064,0.220943,path_A,0.000048
0.802919,0.000048,0.000467,0.662968,0.000064,0.220943,path_B,0.328536
0.000467,0.662968,0.000064,0.220943,0.000048,0.328536,path_A,0.000064
0.000467,0.662968,0.000064,0.220943,0.000048,0.328536,path_B,0.307210
0.000064,0.220943,0.000048,0.328536,0.000064,0.307210,path_A,0.000064
0.000064,0.220943,0.000048,0.328536,0.000064,0.307210,path_B,0.460701
0.000048,0.328536,0.000064,0.307210,0.000064,0.460701,path_A,0.000048
0.000048,0.328536,0.000064,0.307210,0.000064,0.460701,path_B,0.436173
0.000064,0.307210,0.000064,0.460701,0.000048,0.436173,path_A,0.000064
0.000064,0.307210,0.000064,0.460701,0.000048,0.436173,path_B,0.500706
0.000064,0.460701,0.000048,0.436173,0.000064,0.500706,path_A,0.000064
0.000064,0.460701,0.000048,0.436173,0.000064,0.500706,path_B,0.499970
0.000048,0.436173,0.000064,0.500706,0.000064,0.499970,path_A,0.000048
0.000048,0.436173,0.000064,0.500706,0.000064,0.499970,path_B,0.576041
0.000064,0.500706,0.000064,0.499970,0.000048,0.576041,path_A,0.000064
0.000064,0.500706,0.000064,0.499970,0.000048,0.576041,path_B,0.698281
0.000064,0.499970,0.000048,0.576041,0.000064,0.698281,path_A,0.000064
0.000064,0.499970,0.000048,0.576041,0.000064,0.698281,path_B,0.779491
0.000048,0.576041,0.000064,0.698281,0.000064,0.779491,path_A,0.000048
0.000048,0.576041,0.000064,0.698281,0.000064,0.779491,path_B,0.260476
0.000064,0.698281,0.000064,0.779491,0.000048,0.260476,path_A,0.318139
0.000064,0.698281,0.000064,0.779491,0.000048,0.260476,path_B,0.000064
0.000064,0.779491,0.000048,0.260476,0.318139,0.000064,path_A,0.391911
0.000064,0.779491,0.000048,0.260476,0.318139,0.000064,path_B,0.000064
0.000048,0.260476,0.318139,0.000064,0.391911,0.000064,path_A,0.345841
0.000048,0.260476,0.318139,0.000064,0.391911,0.000064,path_B,0.000048
0.318139,0.000064,0.391911,0.000064,0.345841,0.000048,path_A,0.518125
0.318139,0.000064,0.391911,0.000064,0.345841,0.000048,path_B,0.000064
0.391911,0.000064,0.345841,0.000048,0.518125,0.000064,path_A,0.583744
0.391911,0.000064,0.345841,0.000048,0.518125,0.000064,path_B,0.000064
0.345841,0.000048,0.518125,0.000064,0.583744,0.000064,path_A,0.713100
0.345841,0.000048,0.518125,0.000064,0.583744,0.000064,path_B,0.000048
0.518125,0.000064,0.583744,0.000064,0.713100,0.000048,path_A,0.564014
0.518125,0.000064,0.583744,0.000064,0.713100,0.000048,path_B,0.000064
0.583744,0.000064,0.713100,0.000048,0.564014,0.000064,path_A,0.000064
0.583744,0.000064,0.713100,0.000048,0.564014,0.000064,path_B,0.751215
0.713100,0.000048,0.564014,0.000064,0.000064,0.751215,path_A,0.000048
0.713100,0.000048,0.564014,0.000064,0.000064,0.751215,path_B,0.864018
0.564014,0.000064,0.000064,0.751215,0.000048,0.864018,path_A,0.317473
0.564014,0.000064,0.000064,0.751215,0.000048,0.864018,path_B,0.000467
0.000064,0.751215,0.000048,0.864018,0.317473,0.000467,path_A,0.208408
0.000064,0.751215,0.000048,0.864018,0.317473,0.000467,path_B,0.000064
0.000048,0.864018,0.317473,0.000467,0.208408,0.000064,path_A,0.281886
0.000048,0.864018,0.317473,0.000467,0.208408,0.000064,path_B,0.000048
0.317473,0.000467,0.208408,0.000064,0.281886,0.000048,path_A,0.376079
0.317473,0.000467,0.208408,0.000064,0.281886,0.000048,path_B,0.000064
0.208408,0.000064,0.281886,0.000048,0.376079,0.000064,path_A,0.575366
0.208408,0.000064,0.281886,0.000048,0.376079,0.000064,path_B,0.000064
0.281886,0.000048,0.376079,0.000064,0.575366,0.000064,path_A,0.416711
0.281886,0.000048,0.376079,0.000064,0.575366,0.000064,path_B,0.000048
0.376079,0.000064,0.575366,0.000064,0.416711,0.000048,path_A,0.613323
0.376079,0.000064,0.575366,0.000064,0.416711,0.000048,path_B,0.000064
0.575366,0.000064,0.416711,0.000048,0.613323,0.000064,path_A,0.689030
0.575366,0.000064,0.416711,0.000048,0.613323,0.000064,path_B,0.000064
0.416711,0.000048,0.613323,0.000064,0.689030,0.000064,path_A,0.711860
0.416711,0.000048,0.613323,0.000064,0.689030,0.000064,path_B,0.000048
0.613323,0.000064,0.689030,0.000064,0.711860,0.000048,path_A,0.765594
0.613323,0.000064,0.689030,0.000064,0.711860,0.000048,path_B,0.000064
0.001687,0.100837,0.000048,0.285839,0.000064,0.354891,path_A,0.000064
0.001687,0.100837,0.000048,0.285839,0.000064,0.354891,path_B,0.441398
0.000048,0.285839,0.000064,0.354891,0.000064,0.441398,path_A,0.000064
0.000048,0.285839,0.000064,0.354891,0.000064,0.441398,path_B,0.436820
0.000064,0.354891,0.000064,0.441398,0.000064,0.436820,path_A,0.000064
0.000064,0.354891,0.000064,0.441398,0.000064,0.436820,path_B,0.540450
0.000064,0.441398,0.000064,0.436820,0.000064,0.540450,path_A,0.000064
0.000064,0.441398,0.000064,0.436820,0.000064,0.540450,path_B,0.618796
0.000064,0.436820,0.000064,0.540450,0.000064,0.618796,path_A,0.000064
0.000064,0.436820,0.000064,0.540450,0.000064,0.618796,path_B,0.649832
0.000064,0.540450,0.000064,0.618796,0.000064,0.649832,path_A,0.000064
0.000064,0.540450,0.000064,0.618796,0.000064,0.649832,path_B,0.787945
0.000064,0.618796,0.000064,0.649832,0.000064,0.787945,path_A,0.000064
0.000064,0.618796,0.000064,0.649832,0.000064,0.787945,path_B,0.871069
0.000064,0.649832,0.000064,0.787945,0.000064,0.871069,path_A,0.590556
0.000064,0.649832,0.000064,0.787945,0.000064,0.871069,path_B,0.000467
0.000064,0.787945,0.000064,0.871069,0.590556,0.000467,path_A,0.199680
0.000064,0.787945,0.000064,0.871069,0.590556,0.000467,path_B,0.000048
0.000064,0.871069,0.590556,0.000467,0.199680,0.000048,path_A,0.264502
0.000064,0.871069,0.590556,0.000467,0.199680,0.000048,path_B,0.000064
0.590556,0.000467,0.199680,0.000048,0.264502,0.000064,path_A,0.351485
0.590556,0.000467,0.199680,0.000048,0.264502,0.000064,path_B,0.000064
0.199680,0.000048,0.264502,0.000064,0.351485,0.000064,path_A,0.446170
0.199680,0.000048,0.264502,0.000064,0.351485,0.000064,path_B,0.000048
0.264502,0.000064,0.351485,0.000064,0.446170,0.000048,path_A,0.509648
0.264502,0.000064,0.351485,0.000064,0.446170,0.000048,path_B,0.000064
0.351485,0.000064,0.446170,0.000048,0.509648,0.000064,path_A,0.530003
0.351485,0.000064,0.446170,0.000048,0.509648,0.000064,path_B,0.000064
0.446170,0.000048,0.509648,0.000064,0.530003,0.000064,path_A,0.621341
0.446170,0.000048,0.509648,0.000064,0.530003,0.000064,path_B,0.000048
0.509648,0.000064,0.530003,0.000064,0.621341,0.000048,path_A,0.694892
0.509648,0.000064,0.530003,0.000064,0.621341,0.000048,path_B,0.000064
0.530003,0.000064,0.621341,0.000048,0.694892,0.000064,path_A,0.842216
0.530003,0.000064,0.621341,0.000048,0.694892,0.000064,path_B,0.000064
0.621341,0.000048,0.694892,0.000064,0.842216,0.000064,path_A,0.642334
0.621341,0.000048,0.694892,0.000064,0.842216,0.000064,path_B,0.000048
0.694892,0.000064,0.842216,0.000064,0.642334,0.000048,path_A,0.000064
0.694892,0.000064,0.842216,0.000064,0.642334,0.000048,path_B,0.212943
0.842216,0.000064,0.642334,0.000048,0.000064,0.212943,path_A,0.000064
0.842216,0.000064,0.642334,0.000048,0.000064,0.212943,path_B,0.304418
0.642334,0.000048,0.000064,0.212943,0.000064,0.304418,path_A,0.000064
0.642334,0.000048,0.000064,0.212943,0.000064,0.304418,path_B,0.343297
0.000064,0.212943,0.000064,0.304418,0.000064,0.343297,path_A,0.000064
0.000064,0.212943,0.000064,0.304418,0.000064,0.343297,path_B,0.435982
0.000064,0.304418,0.000064,0.343297,0.000064,0.435982,path_A,0.000064
0.000064,0.304418,0.000064,0.343297,0.000064,0.435982,path_B,0.469036
0.000064,0.343297,0.000064,0.435982,0.000064,0.469036,path_A,0.000064
0.000064,0.343297,0.000064,0.435982,0.000064,0.469036,path_B,0.586252
0.000064,0.435982,0.000064,0.469036,0.000064,0.586252,path_A,0.000064
0.000064,0.435982,0.000064,0.469036,0.000064,0.586252,path_B,0.647333
0.000064,0.469036,0.000064,0.586252,0.000064,0.647333,path_A,0.000064
0.000064,0.469036,0.000064,0.586252,0.000064,0.647333,path_B,0.667166
0.000064,0.586252,0.000064,0.647333,0.000064,0.667166,path_A,0.000064
0.000064,0.586252,0.000064,0.647333,0.000064,0.667166,path_B,0.742781
0.000064,0.647333,0.000064,0.667166,0.000064,0.742781,path_A,0.000064
0.000064,0.647333,0.000064,0.667166,0.000064,0.742781,path_B,0.550508
0.000064,0.667166,0.000064,0.742781,0.000064,0.550508,path_A,0.259843
0.000064,0.667166,0.000064,0.742781,0.000064,0.550508,path_B,0.000064
0.000064,0.742781,0.000064,0.550508,0.259843,0.000064,path_A,0.306283
0.000064,0.742781,0.000064,0.550508,0.259843,0.000064,path_B,0.000048
0.000064,0.550508,0.259843,0.000064,0.306283,0.000048,path_A,0.340362
0.000064,0.550508,0.259843,0.000064,0.306283,0.000048,path_B,0.000064
0.259843,0.000064,0.306283,0.000048,0.340362,0.000064,path_A,0.406628
0.259843,0.000064,0.306283,0.000048,0.340362,0.000064,path_B,0.000064
0.306283,0.000048,0.340362,0.000064,0.406628,0.000064,path_A,0.448553
0.306283,0.000048,0.340362,0.000064,0.406628,0.000064,path_B,0.000048
0.340362,0.000064,0.406628,0.000064,0.448553,0.000048,path_A,0.532336
0.340362,0.000064,0.406628,0.000064,0.448553,0.000048,path_B,0.000064
0.406628,0.000064,0.448553,0.000048,0.532336,0.000064,path_A,0.709916
0.406628,0.000064,0.448553,0.000048,0.532336,0.000064,path_B,0.000064
0.448553,0.000048,0.532336,0.000064,0.709916,0.000064,path_A,0.771348
0.448553,0.000048,0.532336,0.000064,0.709916,0.000064,path_B,0.000048
0.532336,0.000064,0.709916,0.000064,0.771348,0.000048,path_A,0.000451
0.532336,0.000064,0.709916,0.000064,0.771348,0.000048,path_B,0.757041
0.000048,0.000048,0.000064,0.000064,0.000064,0.000048,path_A,0.000048
0.000048,0.000048,0.000064,0.000064,0.000064,0.000048,path_B,0.000064
0.000064,0.000064,0.000064,0.000048,0.000048,0.000064,path_A,0.000064
0.000064,0.000064,0.000064,0.000048,0.000048,0.000064,path_B,0.000064
0.000064,0.000048,0.000048,0.000064,0.000064,0.000064,path_A,0.000064
0.000064,0.000048,0.000048,0.000064,0.000064,0.000064,path_B,0.000048
0.000048,0.000064,0.000064,0.000064,0.000064,0.000048,path_A,0.000048
0.000048,0.000064,0.000064,0.000064,0.000064,0.000048,path_B,0.000064
0.000064,0.000064,0.000064,0.000048,0.000048,0.000064,path_A,0.000064
0.000064,0.000064,0.000064,0.000048,0.000048,0.000064,path_B,0.000064
0.000064,0.000048,0.000048,0.000064,0.000064,0.000064,path_A,0.000064
0.000064,0.000048,0.000048,0.000064,0.000064,0.000064,path_B,0.000048
0.000048,0.000064,0.000064,0.000064,0.000064,0.000048,path_A,0.000048
0.000048,0.000064,0.000064,0.000064,0.000064,0.000048,path_B,0.000064
0.000064,0.000064,0.000064,0.000048,0.000048,0.000064,path_A,0.000064
0.000064,0.000064,0.000064,0.000048,0.000048,0.000064,path_B,0.000064
0.000064,0.000048,0.000048,0.000064,0.000064,0.000064,path_A,0.000064
0.000064,0.000048,0.000048,0.000064,0.000064,0.000064,path_B,0.000048
0.000048,0.000064,0.000064,0.000064,0.000064,0.000048,path_A,0.000048
0.000048,0.000064,0.000064,0.000064,0.000064,0.000048,path_B,0.000064
0.000064,0.000064,0.000064,0.000048,0.000048,0.000064,path_A,0.000064
0.000064,0.000064,0.000064,0.000048,0.000048,0.000064,path_B,0.000064
0.000064,0.000048,0.000048,0.000064,0.000064,0.000064,path_A,0.000064
0.000064,0.000048,0.000048,0.000064,0.000064,0.000064,path_B,0.000048
0.000048,0.000064,0.000064,0.000064,0.000064,0.000048,path_A,0.000048
0.000048,0.000064,0.000064,0.000064,0.000064,0.000048,path_B,0.000064
0.000064,0.000064,0.000064,0.000048,0.000048,0.000064,path_A,0.000064
0.000064,0.000064,0.000064,0.000048,0.000048,0.000064,path_B,0.000064
0.000064,0.000048,0.000048,0.000064,0.000064,0.000064,path_A,0.000064
0.000064,0.000048,0.000048,0.000064,0.000064,0.000064,path_B,0.000048
0.000048,0.000064,0.000064,0.000064,0.000064,0.000048,path_A,0.000048
0.000048,0.000064,0.000064,0.000064,0.000064,0.000048,path_B,0.000064
0.000064,0.000064,0.000064,0.000048,0.000048,0.000064,path_A,0.000064
0.000064,0.000064,0.000064,0.000048,0.000048,0.000064,path_B,0.000064
0.000064,0.000048,0.000048,0.000064,0.000064,0.000064,path_A,0.000064
0.000064,0.000048,0.000048,0.000064,0.000064,0.000064,path_B,0.000064
0.000048,0.000064,0.000064,0.000064,0.000064,0.000064,path_A,0.000048
0.000048,0.000064,0.000064,0.000064,0.000064,0.000064,path_B,0.000064
0.000064,0.000064,0.000064,0.000064,0.000048,0.000064,path_A,0.000064
0.000064,0.000064,0.000064,0.000064,0.000048,0.000064,path_B,0.000064
0.000064,0.000064,0.000048,0.000064,0.000064,0.000064,path_A,0.000064
0.000064,0.000064,0.000048,0.000064,0.000064,0.000064,path_B,0.000064
0.000048,0.000064,0.000064,0.000064,0.000064,0.000064,path_A,0.000048
0.000048,0.000064,0.000064,0.000064,0.000064,0.000064,path_B,0.000064
0.000064,0.000064,0.000064,0.000064,0.000048,0.000064,path_A,0.000064
0.000064,0.000064,0.000064,0.000064,0.000048,0.000064,path_B,0.000064
0.000064,0.000064,0.000048,0.000064,0.000064,0.000064,path_A,0.000064
0.000064,0.000064,0.000048,0.000064,0.000064,0.000064,path_B,0.000064
0.000048,0.000064,0.000064,0.000064,0.000064,0.000064,path_A,0.000048
0.000048,0.000064,0.000064,0.000064,0.000064,0.000064,path_B,0.000064
0.000064,0.000064,0.000064,0.000064,0.000048,0.000064,path_A,0.000064
0.000064,0.000064,0.000064,0.000064,0.000048,0.000064,path_B,0.000064
0.000064,0.000064,0.000048,0.000064,0.000064,0.000064,path_A,0.000064
0.000064,0.000064,0.000048,0.000064,0.000064,0.000064,path_B,0.000064
