dpid,port_no,MSE,MAE,RMSE
1,3,0.001242291647940874,0.024021437391638756,0.03524615791743654
1,4,0.0013288696063682437,0.02386343665421009,0.03645366382640082
2,3,0.0014982318971306086,0.024740075692534447,0.03870700062173003
2,4,0.0013507161056622863,0.024113358929753304,0.03675208981353695
3,3,0.001514929230324924,0.026648281142115593,0.038922091803048356
3,4,0.0014216079143807292,0.023802272975444794,0.03770421613534392
4,3,0.0012498395517468452,0.020750585943460464,0.03535306990555198
4,4,0.0012825713492929935,0.023245427757501602,0.03581300530942626
5,3,0.0012492211535573006,0.023029878735542297,0.035344322791041
5,4,0.0014948841417208314,0.027439303696155548,0.038663731606259
6,3,0.0012781114783138037,0.02272399142384529,0.03575068500481919
6,4,0.0014831938315182924,0.023537786677479744,0.038512255601539265
7,3,0.0012547913938760757,0.022868042811751366,0.03542303479201176
7,4,0.0012358997482806444,0.021977467462420464,0.035155365853318105
8,3,0.0013594657648354769,0.023493697866797447,0.0368709338752828
8,4,0.00139509083237499,0.024631893262267113,0.037350914746161035
9,1,0.0010593332117423415,0.022323939949274063,0.03254739946205137
9,2,0.0010229838080704212,0.020985351875424385,0.031984118059912504
9,3,0.04455256089568138,0.14519326388835907,0.21107477560258445
9,4,9.116026922129095e-05,0.005721000023186207,0.009547788708454484
10,1,0.0011646547354757786,0.02191906049847603,0.034127038187861815
10,2,0.0009645868558436632,0.021142655983567238,0.031057798631642635
10,3,0.00013879823382012546,0.007058674935251474,0.011781266223124129
10,4,0.043936170637607574,0.1487479954957962,0.20960956714236012
11,1,0.0010087338741868734,0.019854877144098282,0.031760571062039694
11,2,0.0010651435004547238,0.020993772894144058,0.03263653628151621
11,3,0.04438474774360657,0.1403697282075882,0.21067687994558532
11,4,4.1022351069841534e-05,0.0025296746753156185,0.0064048693249621836
12,1,0.0010578047949820757,0.020413698628544807,0.03252391112677065
12,2,0.0011818899074569345,0.024071484804153442,0.03437862573543239
12,3,8.041441469686106e-05,0.005068544764071703,0.008967408471618823
12,4,0.04398953169584274,0.1402096301317215,0.2097368153087167
13,1,0.000856491329614073,0.018944503739476204,0.02926587312235999
13,2,0.0011685130884870887,0.02268954925239086,0.0341835207152085
13,3,0.04325636103749275,0.14233335852622986,0.2079816362987193
13,4,4.893278673989698e-05,0.00374313211068511,0.006995197405355833
14,1,0.001071740174666047,0.020466113463044167,0.03273744300745016
14,2,0.0010473864385858178,0.022376537322998047,0.03236335023735673
14,3,1.8588877992442576e-08,1.0255554116156418e-05,0.00013634103561453015
14,4,0.044434305280447006,0.14820246398448944,0.2107944621674085
15,1,0.0010058312909677625,0.020819980651140213,0.031714843385515286
15,2,0.0010589329758659005,0.021692372858524323,0.03254125037342451
15,3,0.04171982407569885,0.13812273740768433,0.2042543122572908
15,4,7.488495612051338e-05,0.006263343617320061,0.008653609427314904
16,1,0.0010591739555820823,0.02188417874276638,0.032544952843445364
16,2,0.001007823389954865,0.020848335698246956,0.03174623426415903
16,3,0.00013965583639219403,0.00925351306796074,0.011817607050168577
16,4,0.046306997537612915,0.14843733608722687,0.21519060745676824
17,1,0.04135254770517349,0.14153088629245758,0.20335325840805574
17,2,0.04040501266717911,0.13713790476322174,0.20100998151131477
17,3,0.03947848826646805,0.13915808498859406,0.19869194313426009
17,4,0.04085712507367134,0.1369267851114273,0.20213145493384085
18,1,2.980186991408118e-06,0.0011137401452288032,0.0017263218099207685
18,2,9.10472372197546e-05,0.006381198298186064,0.009541867596008374
18,3,3.4417978895362467e-05,0.002755372552201152,0.005866683807344867
18,4,9.447766205994412e-05,0.007527612615376711,0.00971996204004646
19,1,5.953402251179796e-06,0.0007898199837654829,0.002439959477364285
19,2,0.00012104082998121157,0.008875812403857708,0.011001855751699872
19,3,0.00010914677113760263,0.005232983734458685,0.010447333206976918
19,4,2.924752152466681e-06,0.0005124395247548819,0.0017101906772248178
20,1,0.042863428592681885,0.14777371287345886,0.2070348487397276
20,2,0.04466718062758446,0.14436188340187073,0.21134611571444709
20,3,0.04093429073691368,0.13958622515201569,0.2023222447901211
20,4,0.039921052753925323,0.13852661848068237,0.19980253440315845
